object_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,business_type_clothing,business_type_grocery,business_type_restaurant,business_type_craft,market_condition,market_security,market_depth,cash_food_local,outside_job,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp_change,entrepreneurship_training,training_grow,training_grow_financing,training_grow_training,finances_care,finances_care_underbed,finances_care_remmitances,finances_care_mobile,finances_care_other_text,finances_care_other,business_leave_camp,leave_camp_support_business,id_problem_fequency,ibs,ibs_comm,ibs_saco,ibs_mobile,ibs_microloan,ibs_nobank,key_good_demand_change,x,y,household_money_supply
89,kigeme,2,yesfamily,0,10,grocery,FALSE,TRUE,FALSE,FALSE,average,average,house,yes,yes,two,decrease,6/9/2013,,,aroundcamp,no,no,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,Micro financing,no,weekly,monthly,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,yes,29.5233,-2.48308,
90,kigeme,2,yesfamily,0,30,other,FALSE,FALSE,FALSE,FALSE,average,average,house,yes,no,three,decrease,6/10/2013,,,aroundcamp,no,no,financing/training,TRUE,TRUE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,weekly,monthly,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,yes,29.52325,-2.4831,
91,kigeme,3,yesfamily,2,55,general/cell,FALSE,FALSE,FALSE,FALSE,average,average,house,yes,yes,two,decrease,9/30/2016,,,aroundcamp,no,yes,financing,TRUE,FALSE,remittances/mobilemoney/other,FALSE,TRUE,TRUE,TRUE,Micro finances/ banks,yes,weekly,monthly,microloan/mobile/commbank,TRUE,FALSE,TRUE,TRUE,FALSE,no,29.52342,-2.48308,
92,kigeme,1,noemploy,,20,grocery,FALSE,TRUE,FALSE,FALSE,poor,good,daily,yes,no,five,decrease,########,,,aroundcamp,yes,yes,financing/training,TRUE,TRUE,other,FALSE,FALSE,FALSE,TRUE,Sacco,yes,daily,frequent,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.51282,-2.49222,
93,kigeme,1,noemploy,,6,other,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,two,increased,########,,,districtonly,no,no,financing/training,TRUE,TRUE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,daily,frequent,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,yes,29.50463,-2.49858,
94,kigeme,1,noemploy,,4,woodcharcoal,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,five,decrease,4/7/2014,,,districtonly,no,no,financing/training,TRUE,TRUE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,weekly,frequent,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,no,29.50396,-2.49909,
95,kigeme,1,noemploy,,8,other,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,five,increased,8/13/2012,,,districtonly,no,no,financing/training,TRUE,TRUE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,weekly,frequent,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,no,29.50509,-2.49895,
96,kigeme,1,noemploy,,5,other,FALSE,FALSE,FALSE,FALSE,poor,average,house,yes,no,five,decrease,5/3/2016,,,districtonly,no,yes,financing/training,TRUE,TRUE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,daily,frequent,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,yes,29.52054,-2.4833,
97,kigeme,5,yesfamily,5,50,general/other/grocery,FALSE,TRUE,FALSE,FALSE,poor,good,daily,yes,no,five,increased,1/13/2015,,,aroundcamp,no,yes,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,Bank,yes,daily,frequent,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.52279,-2.48268,
98,kigeme,2,yesfamily,2,15,general/grocery,FALSE,TRUE,FALSE,FALSE,poor,good,daily,yes,no,five,increased,2/4/2016,,,districtonly,yes,yes,financing/training,TRUE,TRUE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,daily,frequent,saco/microloan,FALSE,TRUE,FALSE,TRUE,FALSE,yes,29.52267,-2.48271,
